rooms,Elitka,area,heating,floor,price
2,0,39,1,7,23500
2,0,45,1,2,23500
1,0,38,1,5,23500
1,0,39,1,6,23500
1,0,45,1,1,23500
1,0,43,1,1,23500
1,0,44,1,1,23500
1,1,25,1,7,23500
1,0,34,1,3,23500
1,0,25,1,8,24000
1,0,38,1,5,24000
2,0,80,0,2,24000
1,1,37,1,6,24000
1,1,37,1,4,24000
2,0,39,1,7,24000
1,0,30,1,6,24000
1,0,32,1,8,24000
2,0,39,1,9,24000
2,0,32,1,7,24000
1,0,50,1,2,24000
1,0,39,1,5,24000
2,0,39,1,5,24000
1,1,48,1,1,24000
2,0,49,1,1,24000
1,0,35,1,9,24000
1,0,45,1,2,24000
2,0,54,0,2,24000
1,0,30,1,7,24500
1,0,32,1,5,24500
1,0,33,1,9,24500
2,0,45,1,1,24500
1,0,40,1,6,24500
1,0,40,1,9,24500
1,0,39,1,7,24500
1,0,30,1,4,24500
1,1,41,1,1,24500
1,1,41,1,1,24500
1,1,43,1,1,24500
1,0,35,1,4,24500
3,0,64,0,2,24500
1,0,35,1,10,24600
1,0,29,1,7,24600
3,0,64,0,2,24940
1,0,39,1,7,25000
1,0,37,1,9,25000
1,0,32,1,7,25000
1,0,32,1,8,25000
1,1,56,0,1,25000
1,0,24,1,7,25000
1,0,29,1,4,25000
1,0,28,1,6,25000
1,0,35,1,9,25000
1,0,30,1,6,25000
1,0,30,1,9,25000
2,0,33,1,3,25000
2,0,44,1,1,25000
2,0,45,1,1,25000
2,0,39,1,6,25000
3,0,49,1,1,25000
2,0,60,0,1,25000
1,0,33,1,7,25000
1,0,35,1,4,25200
1,0,40,1,6,25200
1,0,32,1,6,25400
1,0,36,1,4,25500
1,0,42,1,7,25500
1,0,39,1,3,25500
1,0,42,1,6,25500
1,0,34,1,10,25500
1,0,38,1,3,25500
1,1,35,1,6,25500
1,0,42,1,5,25500
1,0,34,1,9,25500
1,0,42,1,6,25500
2,0,42,1,4,25500
2,0,41,1,3,25500
1,0,30,1,5,25500
1,0,44,1,2,25500
1,1,32,1,11,25500
1,0,44,1,1,25500
2,0,44,1,2,25500
2,0,42,1,8,25500
1,0,45,1,1,25500
2,0,44,1,1,25500
1,0,45,1,2,25500
1,NA,36,1,4,25500
1,1,49,1,2,25500
1,1,44,1,2,25600
1,0,36,1,9,25700
1,0,35,1,7,25700
1,0,31,1,5,25800
1,0,30,1,5,26000
1,0,31,1,9,26000
1,0,30,1,7,26000
1,0,34,1,8,26000
1,0,53,1,1,26000
1,0,53,1,1,26000
1,0,40,1,9,26000
1,0,31,1,9,26000
1,1,51,1,2,26000
1,0,35,1,3,26000
3,0,63,0,1,26000
1,0,39,1,3,26000
1,0,32,1,9,26000
1,0,34,1,8,26000
1,1,31,1,4,26000
1,0,35,1,4,26000
1,0,37,1,4,26000
1,0,35,1,9,26000
2,0,67,0,1,26000
2,0,40,1,9,26000
2,0,39,1,3,26000
2,0,43,1,4,26000
2,0,43,1,4,26000
1,0,30,1,3,26000
1,0,31,1,6,26000
1,0,40,1,7,26000
1,0,42,1,6,26000
1,0,30,1,5,26000
1,0,35,1,8,26000
1,0,39,1,8,26000
1,0,34,1,8,26000
2,0,41,1,8,26000
1,0,34,1,4,26000
1,0,45,1,2,26000
1,0,33,1,6,26500
1,0,30,1,4,26500
1,1,32,1,4,26500
1,1,33,1,3,26500
1,1,44,1,4,26500
1,1,45,1,2,26500
1,0,45,1,2,26500
1,0,32,1,6,26500
1,0,30,1,4,26500
1,0,30,1,5,26500
1,0,35,1,6,26500
1,0,30,1,6,26500
1,0,33,1,3,26500
1,0,32,1,6,26500
